Species,MaternalLine,SeedlingID,InoculationDate,ScoringDate,Flecking,Chlorosis,Necrosis,ActiveSpores,Coverage,ImmuneResponse
Melaleuca quinquenervia,NSW1071075,20,3/02/2026,24/02/2026,N,Y,Y,N,3,HR
Melaleuca quinquenervia,NSW1071075,22,3/02/2026,24/02/2026,N,Y,Y,UR,78,HR
Melaleuca quinquenervia,NSW1071075,24,3/02/2026,24/02/2026,N,Y,N,Mix,30,HR
Melaleuca quinquenervia,NSW1071080,25,3/02/2026,24/02/2026,Y,N,Y,Mix,57,MS
Melaleuca quinquenervia,NSW1071080,27,3/02/2026,24/02/2026,N,Y,N,UR,92,R
Melaleuca quinquenervia,NSW1071080,28,3/02/2026,24/02/2026,N,N,N,R,45,MS
Melaleuca quinquenervia,NSW1071080,31,3/02/2026,24/02/2026,Y,N,N,N,94,S
Melaleuca quinquenervia,NSW1071080,32,3/02/2026,24/02/2026,N,N,N,UR,58,R
Melaleuca quinquenervia,NSW1071080,35,3/02/2026,24/02/2026,Y,Y,N,UR,23,R
Melaleuca quinquenervia,NSW1071080,36,3/02/2026,24/02/2026,N,Y,N,Mix,11,R
Melaleuca quinquenervia,NSW1071090,37,3/02/2026,24/02/2026,Y,N,N,Mix,71,HR
Melaleuca quinquenervia,NSW1071090,39,3/02/2026,24/02/2026,Y,N,Y,N,86,HR
Melaleuca quinquenervia,NSW1071090,41,3/02/2026,24/02/2026,N,N,N,R,24,HR
Melaleuca quinquenervia,NSW1071090,43,3/02/2026,24/02/2026,Y,Y,Y,N,38,MS
Melaleuca quinquenervia,NSW1071090,45,3/02/2026,24/02/2026,Y,N,Y,UR,86,R
Melaleuca quinquenervia,NSW1071090,49,3/02/2026,24/02/2026,N,N,Y,UR,17,MS
Melaleuca quinquenervia,NSW1071090,51,3/02/2026,24/02/2026,Y,N,N,R,98,S
Melaleuca quinquenervia,NSW1071090,55,3/02/2026,24/02/2026,N,Y,N,N,23,R
Melaleuca quinquenervia,NSW1071090,57,3/02/2026,24/02/2026,Y,N,N,R,65,R
Melaleuca quinquenervia,NSW1071110,61,3/02/2026,24/02/2026,N,N,N,R,56,R
Melaleuca quinquenervia,NSW1071110,62,3/02/2026,24/02/2026,N,N,Y,Mix,72,HR
Melaleuca quinquenervia,NSW1071110,63,3/02/2026,24/02/2026,Y,N,N,Mix,13,HR
Melaleuca quinquenervia,NSW1071110,65,3/02/2026,24/02/2026,Y,N,Y,UR,60,HR
Melaleuca quinquenervia,NSW1071110,66,3/02/2026,24/02/2026,Y,Y,Y,N,27,MS
Melaleuca quinquenervia,NSW1071110,68,3/02/2026,24/02/2026,N,N,N,R,41,R
Melaleuca quinquenervia,NSW1071110,71,3/02/2026,24/02/2026,Y,Y,N,Mix,4,MS
Melaleuca quinquenervia,NSW1071113,81,3/02/2026,24/02/2026,Y,N,Y,N,16,S
Melaleuca quinquenervia,NSW1071113,82,3/02/2026,24/02/2026,Y,Y,Y,R,2,R
Melaleuca quinquenervia,NSW1071113,83,3/02/2026,24/02/2026,N,N,Y,R,43,R
Melaleuca quinquenervia,NSW1071115,85,3/02/2026,24/02/2026,Y,Y,N,R,22,R
Melaleuca quinquenervia,NSW1071115,87,3/02/2026,24/02/2026,Y,Y,N,Mix,58,HR
Melaleuca quinquenervia,NSW1071115,89,3/02/2026,24/02/2026,Y,Y,Y,N,82,HR
Melaleuca quinquenervia,NSW1071115,90,3/02/2026,24/02/2026,Y,N,Y,Mix,62,HR
Melaleuca quinquenervia,NSW1071115,94,3/02/2026,24/02/2026,N,Y,N,UR,17,MS
Melaleuca quinquenervia,NSW1071118,97,3/02/2026,24/02/2026,Y,Y,Y,Mix,36,R
Melaleuca quinquenervia,NSW1071118,98,3/02/2026,24/02/2026,Y,N,N,R,10,MS
Melaleuca quinquenervia,NSW1071118,99,3/02/2026,24/02/2026,N,Y,N,UR,5,HR
Melaleuca quinquenervia,NSW1071118,101,3/02/2026,24/02/2026,N,Y,N,N,76,MS
Melaleuca quinquenervia,NSW1071118,102,3/02/2026,24/02/2026,N,Y,N,R,48,R
Melaleuca quinquenervia,NSW1071118,103,3/02/2026,24/02/2026,Y,N,Y,N,65,MS
Melaleuca quinquenervia,NSW1071118,106,3/02/2026,24/02/2026,N,Y,Y,R,4,S
Melaleuca quinquenervia,NSW1071118,107,3/02/2026,24/02/2026,N,N,Y,UR,27,R
Melaleuca quinquenervia,NSW1071118,108,3/02/2026,24/02/2026,N,Y,N,UR,49,R
Melaleuca quinquenervia,NSW1071123,109,3/02/2026,24/02/2026,Y,Y,Y,Mix,26,R
Melaleuca quinquenervia,NSW1071123,112,3/02/2026,24/02/2026,N,N,N,R,28,HR
Melaleuca quinquenervia,NSW1071123,113,3/02/2026,24/02/2026,N,Y,N,Mix,60,HR
Melaleuca quinquenervia,NSW1071123,116,3/02/2026,24/02/2026,N,N,N,Mix,65,HR
Melaleuca quinquenervia,NSW1071123,118,3/02/2026,24/02/2026,N,N,Y,Mix,2,MS
Melaleuca quinquenervia,NSW1071123,120,3/02/2026,24/02/2026,N,N,N,N,3,R
Melaleuca quinquenervia,NSW1071128,121,3/02/2026,24/02/2026,Y,Y,N,N,56,MS
Melaleuca quinquenervia,NSW1071128,122,3/02/2026,24/02/2026,Y,Y,N,R,36,HR
Melaleuca quinquenervia,NSW1071128,123,3/02/2026,24/02/2026,N,N,N,R,76,MS
Melaleuca quinquenervia,NSW1071128,124,3/02/2026,24/02/2026,Y,N,Y,Mix,47,R
Melaleuca quinquenervia,NSW1071128,125,3/02/2026,24/02/2026,Y,N,Y,R,71,MS
Melaleuca quinquenervia,NSW1071128,126,3/02/2026,24/02/2026,N,Y,Y,R,100,S
Melaleuca quinquenervia,NSW1071128,127,3/02/2026,24/02/2026,N,N,N,Mix,69,R
Melaleuca quinquenervia,NSW1071128,128,3/02/2026,24/02/2026,N,Y,Y,UR,75,R
Melaleuca quinquenervia,NSW1071128,129,3/02/2026,24/02/2026,N,Y,Y,R,11,R
Melaleuca quinquenervia,NSW1071128,130,3/02/2026,24/02/2026,N,N,N,R,99,HR
Melaleuca quinquenervia,NSW1071128,131,3/02/2026,24/02/2026,Y,Y,Y,R,87,HR
Melaleuca quinquenervia,NSW1071128,132,3/02/2026,24/02/2026,Y,Y,Y,N,22,HR
Melaleuca quinquenervia,NSW1071133,133,3/02/2026,24/02/2026,N,Y,N,R,76,MS
Melaleuca quinquenervia,NSW1071133,134,3/02/2026,24/02/2026,N,N,Y,R,25,R
Melaleuca quinquenervia,NSW1071133,136,3/02/2026,24/02/2026,Y,Y,N,UR,31,MS
Melaleuca quinquenervia,NSW1071133,137,3/02/2026,24/02/2026,Y,N,N,R,23,MS
Melaleuca quinquenervia,NSW1071133,138,3/02/2026,24/02/2026,N,N,Y,N,59,R
Melaleuca quinquenervia,NSW1071133,139,3/02/2026,24/02/2026,N,Y,N,Mix,43,MS
Melaleuca quinquenervia,NSW1071133,140,3/02/2026,24/02/2026,Y,Y,N,R,100,HR
Melaleuca quinquenervia,NSW1071133,141,3/02/2026,24/02/2026,N,Y,N,UR,74,MS
Melaleuca quinquenervia,NSW1071133,142,3/02/2026,24/02/2026,N,Y,Y,R,34,R
Melaleuca quinquenervia,NSW1071133,143,3/02/2026,24/02/2026,N,Y,N,Mix,5,MS
Melaleuca quinquenervia,NSW1071138,145,3/02/2026,24/02/2026,Y,Y,Y,R,26,S
Melaleuca quinquenervia,NSW1071138,146,3/02/2026,24/02/2026,N,Y,N,N,15,R
Melaleuca quinquenervia,NSW1071138,147,3/02/2026,24/02/2026,Y,N,N,N,8,R
Melaleuca quinquenervia,NSW1071138,148,3/02/2026,24/02/2026,N,Y,N,Mix,2,R
Melaleuca quinquenervia,NSW1071138,149,3/02/2026,24/02/2026,Y,Y,Y,N,24,HR
Melaleuca quinquenervia,NSW1071138,150,3/02/2026,24/02/2026,Y,N,N,N,69,HR
Melaleuca quinquenervia,NSW1071138,151,3/02/2026,24/02/2026,N,N,N,R,49,HR
Melaleuca quinquenervia,NSW1071138,152,3/02/2026,24/02/2026,Y,Y,Y,N,69,MS
Melaleuca quinquenervia,NSW1071138,153,3/02/2026,24/02/2026,Y,N,N,Mix,72,R
Melaleuca quinquenervia,NSW1071138,154,3/02/2026,24/02/2026,Y,N,Y,UR,75,MS
Melaleuca quinquenervia,NSW1071138,155,3/02/2026,24/02/2026,N,N,Y,UR,16,HR
Melaleuca quinquenervia,NSW1071143,157,3/02/2026,24/02/2026,Y,Y,Y,R,54,MS
Melaleuca quinquenervia,NSW1071143,159,3/02/2026,24/02/2026,Y,N,Y,UR,90,R
Melaleuca quinquenervia,NSW1071143,161,3/02/2026,24/02/2026,N,N,Y,Mix,79,MS
Melaleuca quinquenervia,NSW1071143,163,3/02/2026,24/02/2026,N,Y,Y,R,24,S
Melaleuca quinquenervia,NSW1071143,165,3/02/2026,24/02/2026,Y,N,N,R,94,R
Melaleuca quinquenervia,NSW1071143,169,3/02/2026,24/02/2026,Y,Y,N,UR,64,R
Melaleuca quinquenervia,NSW1071143,171,3/02/2026,24/02/2026,N,Y,N,R,65,R
Melaleuca quinquenervia,NSW1071143,173,3/02/2026,24/02/2026,N,N,N,N,79,HR
Melaleuca quinquenervia,NSW1071143,175,3/02/2026,24/02/2026,Y,N,Y,R,5,HR
Melaleuca quinquenervia,NSW1071143,177,3/02/2026,24/02/2026,N,N,N,UR,73,HR
Melaleuca quinquenervia,NSW1071143,179,3/02/2026,24/02/2026,Y,N,N,N,86,MS
Melaleuca quinquenervia,NSW1071148,181,3/02/2026,24/02/2026,Y,Y,Y,UR,15,R
Melaleuca quinquenervia,NSW1071148,182,3/02/2026,24/02/2026,Y,Y,Y,UR,34,MS
Melaleuca quinquenervia,NSW1071148,183,3/02/2026,24/02/2026,Y,N,Y,R,27,MS
Melaleuca quinquenervia,NSW1071148,184,3/02/2026,24/02/2026,N,Y,Y,R,3,R
Melaleuca quinquenervia,NSW1071148,185,3/02/2026,24/02/2026,N,N,Y,UR,50,MS
Melaleuca quinquenervia,NSW1071148,186,3/02/2026,24/02/2026,N,N,Y,N,44,HR
Melaleuca quinquenervia,NSW1071148,187,3/02/2026,24/02/2026,N,Y,N,R,5,MS
Melaleuca quinquenervia,NSW1071148,188,3/02/2026,24/02/2026,Y,N,Y,Mix,32,R
Melaleuca quinquenervia,NSW1071148,189,3/02/2026,24/02/2026,N,N,N,R,35,MS
Melaleuca quinquenervia,NSW1071148,190,3/02/2026,24/02/2026,Y,N,Y,Mix,94,S
Melaleuca quinquenervia,NSW1071148,192,3/02/2026,24/02/2026,N,N,Y,UR,96,R
Melaleuca quinquenervia,NSW1074318,193,3/02/2026,24/02/2026,N,N,Y,UR,36,R
Melaleuca quinquenervia,NSW1074318,195,3/02/2026,24/02/2026,Y,Y,N,UR,33,R
Melaleuca quinquenervia,NSW1074318,196,3/02/2026,24/02/2026,N,N,Y,R,20,HR
Melaleuca quinquenervia,NSW1074318,197,3/02/2026,24/02/2026,Y,N,N,Mix,98,HR
Melaleuca quinquenervia,NSW1074318,198,3/02/2026,24/02/2026,N,Y,N,UR,52,HR
Melaleuca quinquenervia,NSW1074318,199,3/02/2026,24/02/2026,N,Y,Y,Mix,62,MS
Melaleuca quinquenervia,NSW1074324,205,3/02/2026,24/02/2026,N,N,Y,R,35,R
Melaleuca quinquenervia,NSW1075719,206,3/02/2026,24/02/2026,N,N,N,R,15,MS
Melaleuca quinquenervia,NSW1074324,209,3/02/2026,24/02/2026,N,N,Y,N,73,HR
Melaleuca quinquenervia,NSW1075719,210,3/02/2026,24/02/2026,N,Y,Y,R,9,MS
Melaleuca quinquenervia,NSW1074324,211,3/02/2026,24/02/2026,N,N,Y,N,38,R
Melaleuca quinquenervia,NSW1075719,212,3/02/2026,24/02/2026,N,Y,Y,Mix,17,MS
Melaleuca quinquenervia,NSW1075719,218,3/02/2026,24/02/2026,Y,N,N,UR,42,S
Melaleuca quinquenervia,NSW1074324,221,3/02/2026,24/02/2026,Y,Y,N,R,65,R
Melaleuca quinquenervia,NSW1074324,225,3/02/2026,24/02/2026,N,N,Y,UR,96,R
Melaleuca quinquenervia,NSW1075719,228,3/02/2026,24/02/2026,Y,N,Y,Mix,63,R
Melaleuca quinquenervia,NSW1074429,229,3/02/2026,24/02/2026,Y,Y,N,N,90,HR
Melaleuca quinquenervia,NSW1074429,231,3/02/2026,24/02/2026,Y,N,Y,UR,23,HR
Melaleuca quinquenervia,NSW1074429,233,3/02/2026,24/02/2026,N,N,Y,UR,42,HR
Melaleuca quinquenervia,NSW1074429,237,3/02/2026,24/02/2026,Y,N,N,UR,17,MS
Melaleuca quinquenervia,NSW1075723,242,3/02/2026,24/02/2026,N,N,Y,Mix,78,R
Melaleuca quinquenervia,NSW1075723,245,3/02/2026,24/02/2026,Y,Y,Y,UR,68,MS
Melaleuca quinquenervia,NSW1075723,248,3/02/2026,24/02/2026,N,N,N,R,38,MS
Melaleuca quinquenervia,NSW1075723,249,3/02/2026,24/02/2026,N,Y,Y,UR,6,R
Melaleuca quinquenervia,NSW1074334,253,3/02/2026,24/02/2026,Y,N,N,UR,35,MS
Melaleuca quinquenervia,NSW1074334,254,3/02/2026,24/02/2026,Y,N,Y,UR,78,HR
Melaleuca quinquenervia,NSW1074334,255,3/02/2026,24/02/2026,Y,Y,Y,R,78,MS
Melaleuca quinquenervia,NSW1074334,256,3/02/2026,24/02/2026,Y,N,Y,N,69,R
Melaleuca quinquenervia,NSW1074334,258,3/02/2026,24/02/2026,N,N,Y,R,13,MS
Melaleuca quinquenervia,NSW1074334,259,3/02/2026,24/02/2026,N,N,Y,UR,57,S
Melaleuca quinquenervia,NSW1074334,261,3/02/2026,24/02/2026,N,N,N,R,61,R
Melaleuca quinquenervia,NSW1074334,264,3/02/2026,24/02/2026,Y,N,N,Mix,13,R
Melaleuca quinquenervia,NSW1074339,266,3/02/2026,24/02/2026,Y,Y,Y,R,75,R
Melaleuca quinquenervia,NSW1074339,268,3/02/2026,24/02/2026,Y,Y,N,R,59,HR
Melaleuca quinquenervia,NSW1074339,269,3/02/2026,24/02/2026,Y,Y,N,UR,43,HR
Melaleuca quinquenervia,NSW1074339,272,3/02/2026,24/02/2026,Y,N,N,R,4,HR
Melaleuca quinquenervia,NSW1074339,273,3/02/2026,24/02/2026,Y,N,Y,UR,0,MS
Melaleuca quinquenervia,NSW1074339,274,3/02/2026,24/02/2026,Y,Y,N,Mix,58,R
Melaleuca quinquenervia,NSW1074339,276,3/02/2026,24/02/2026,N,N,N,UR,69,MS
Melaleuca quinquenervia,NSW1074398,279,3/02/2026,24/02/2026,Y,Y,N,UR,59,HR
Melaleuca quinquenervia,NSW1074398,283,3/02/2026,24/02/2026,N,Y,Y,N,99,MS
Melaleuca quinquenervia,NSW1074398,285,3/02/2026,24/02/2026,Y,N,N,UR,41,R
Melaleuca quinquenervia,NSW1074423,289,3/02/2026,24/02/2026,Y,Y,N,Mix,6,MS
Melaleuca quinquenervia,NSW1074423,291,3/02/2026,24/02/2026,N,Y,N,R,92,S
Melaleuca quinquenervia,NSW1074423,292,3/02/2026,24/02/2026,Y,Y,N,UR,38,R
Melaleuca quinquenervia,NSW1074423,293,3/02/2026,24/02/2026,Y,Y,N,Mix,34,R
Melaleuca quinquenervia,NSW1074423,294,3/02/2026,24/02/2026,N,N,Y,UR,93,R
Melaleuca quinquenervia,NSW1074423,295,3/02/2026,24/02/2026,N,Y,N,Mix,15,HR
Melaleuca quinquenervia,NSW1074423,297,3/02/2026,24/02/2026,Y,Y,N,Mix,47,HR
Melaleuca quinquenervia,NSW1074423,298,3/02/2026,24/02/2026,Y,Y,N,Mix,88,HR
Melaleuca quinquenervia,NSW1074423,299,3/02/2026,24/02/2026,Y,N,N,Mix,62,MS
Melaleuca quinquenervia,NSW1075706,302,3/02/2026,24/02/2026,N,Y,Y,R,13,R
Melaleuca quinquenervia,NSW1075706,304,3/02/2026,24/02/2026,Y,Y,Y,UR,70,MS
Melaleuca quinquenervia,NSW1074428,305,3/02/2026,24/02/2026,Y,Y,Y,N,32,MS
Melaleuca quinquenervia,NSW1074329,325,3/02/2026,24/02/2026,N,N,Y,UR,54,R
Melaleuca quinquenervia,NSW1074329,327,3/02/2026,24/02/2026,Y,Y,Y,R,6,MS
Melaleuca quinquenervia,NSW1074329,328,3/02/2026,24/02/2026,N,Y,Y,R,14,HR
Melaleuca quinquenervia,NSW1074329,331,3/02/2026,24/02/2026,Y,N,N,N,71,MS
Melaleuca quinquenervia,NSW1074329,334,3/02/2026,24/02/2026,Y,Y,Y,R,70,R
Melaleuca quinquenervia,NSW1074329,336,3/02/2026,24/02/2026,N,N,Y,N,28,MS
Melaleuca quinquenervia,NSW1074433,337,3/02/2026,24/02/2026,N,N,N,UR,45,S
Melaleuca quinquenervia,NSW1074433,339,3/02/2026,24/02/2026,Y,Y,Y,Mix,72,R
Melaleuca quinquenervia,NSW1074433,340,3/02/2026,24/02/2026,Y,Y,N,R,36,R
Melaleuca quinquenervia,NSW1074433,341,3/02/2026,24/02/2026,Y,Y,Y,UR,18,R
Melaleuca quinquenervia,NSW1074433,344,3/02/2026,24/02/2026,N,N,Y,Mix,96,HR
Melaleuca quinquenervia,NSW1074453,349,3/02/2026,24/02/2026,N,Y,N,N,94,HR
Melaleuca quinquenervia,NSW1074453,351,3/02/2026,24/02/2026,N,Y,Y,UR,96,HR
Melaleuca quinquenervia,NSW1074453,357,3/02/2026,24/02/2026,N,N,N,N,66,MS
Melaleuca quinquenervia,NSW1074453,358,3/02/2026,24/02/2026,Y,N,Y,Mix,96,R
Melaleuca quinquenervia,NSW1074458,361,3/02/2026,24/02/2026,Y,Y,Y,Mix,12,MS
Melaleuca quinquenervia,NSW1074458,370,3/02/2026,24/02/2026,Y,N,N,UR,24,HR
Melaleuca quinquenervia,NSW1074458,371,3/02/2026,24/02/2026,Y,Y,N,R,30,MS
Melaleuca quinquenervia,NSW1078636,373,3/02/2026,24/02/2026,N,Y,N,N,89,R
Melaleuca quinquenervia,NSW1078636,374,3/02/2026,24/02/2026,N,N,Y,R,47,MS
Melaleuca quinquenervia,NSW1078636,375,3/02/2026,24/02/2026,N,N,N,UR,71,S
Melaleuca quinquenervia,NSW1078636,376,3/02/2026,24/02/2026,N,Y,N,Mix,68,R
Melaleuca quinquenervia,NSW1078636,377,3/02/2026,24/02/2026,N,N,Y,R,84,R
Melaleuca quinquenervia,NSW1078636,378,3/02/2026,24/02/2026,Y,N,Y,Mix,81,R
Melaleuca quinquenervia,NSW1078636,379,3/02/2026,24/02/2026,N,Y,Y,Mix,44,HR
Melaleuca quinquenervia,NSW1078636,380,3/02/2026,24/02/2026,N,N,Y,R,87,HR
Melaleuca quinquenervia,NSW1078636,381,3/02/2026,24/02/2026,Y,Y,N,N,70,HR
Melaleuca quinquenervia,NSW1078636,382,3/02/2026,24/02/2026,Y,N,N,N,78,MS
Melaleuca quinquenervia,NSW1078636,384,3/02/2026,24/02/2026,Y,N,N,Mix,85,R
Melaleuca quinquenervia,NSW1078637,385,3/02/2026,24/02/2026,Y,Y,Y,R,78,MS
Melaleuca quinquenervia,NSW1078637,386,3/02/2026,24/02/2026,Y,N,Y,N,94,R
Melaleuca quinquenervia,NSW1078637,387,3/02/2026,24/02/2026,N,N,Y,Mix,80,R
Melaleuca quinquenervia,NSW1078637,389,3/02/2026,24/02/2026,N,N,N,N,24,HR
Melaleuca quinquenervia,NSW1078637,391,3/02/2026,24/02/2026,N,Y,N,N,50,HR
Melaleuca quinquenervia,NSW1078637,392,3/02/2026,24/02/2026,N,N,Y,R,39,HR
Melaleuca quinquenervia,NSW1078637,393,3/02/2026,24/02/2026,Y,Y,Y,R,42,MS
Melaleuca quinquenervia,NSW1078637,394,3/02/2026,24/02/2026,N,N,Y,Mix,15,R
Melaleuca quinquenervia,NSW1078637,395,3/02/2026,24/02/2026,Y,Y,N,N,57,MS
Melaleuca quinquenervia,NSW1078637,396,3/02/2026,24/02/2026,N,N,Y,R,60,MS
Melaleuca quinquenervia,NSW1078640,397,3/02/2026,24/02/2026,Y,Y,N,N,99,R
Melaleuca quinquenervia,NSW1078640,398,3/02/2026,24/02/2026,Y,Y,Y,R,62,MS
Melaleuca quinquenervia,NSW1078640,399,3/02/2026,24/02/2026,N,N,Y,UR,86,HR
Melaleuca quinquenervia,NSW1078640,400,3/02/2026,24/02/2026,N,N,N,R,49,MS
Melaleuca quinquenervia,NSW1078640,401,3/02/2026,24/02/2026,Y,Y,Y,UR,97,R
Melaleuca quinquenervia,NSW1078640,402,3/02/2026,24/02/2026,N,Y,Y,UR,73,MS
Melaleuca quinquenervia,NSW1078640,406,3/02/2026,24/02/2026,Y,Y,N,UR,11,S
Melaleuca quinquenervia,NSW1078640,407,3/02/2026,24/02/2026,Y,Y,Y,UR,19,R
Melaleuca quinquenervia,NSW1078641,411,3/02/2026,24/02/2026,Y,N,N,R,81,R
Melaleuca quinquenervia,NSW1078641,413,3/02/2026,24/02/2026,Y,Y,N,Mix,61,R
Melaleuca quinquenervia,NSW1078641,415,3/02/2026,24/02/2026,Y,N,Y,R,21,HR
Melaleuca quinquenervia,NSW1078641,417,3/02/2026,24/02/2026,N,Y,Y,Mix,95,HR
Melaleuca quinquenervia,NSW1078641,419,3/02/2026,24/02/2026,Y,N,Y,Mix,59,HR
Melaleuca quinquenervia,NSW1078641,421,3/02/2026,24/02/2026,N,N,N,R,46,MS
Melaleuca quinquenervia,NSW1078641,425,3/02/2026,24/02/2026,N,Y,N,Mix,32,R
Melaleuca quinquenervia,NSW1078641,427,3/02/2026,24/02/2026,Y,N,N,R,33,MS
Melaleuca quinquenervia,NSW1078641,429,3/02/2026,24/02/2026,Y,N,N,Mix,40,HR
Melaleuca quinquenervia,NSW1078642,437,3/02/2026,24/02/2026,Y,N,Y,R,11,MS
Melaleuca quinquenervia,NSW1078642,439,3/02/2026,24/02/2026,Y,N,N,R,35,R
Melaleuca quinquenervia,NSW1078642,440,3/02/2026,24/02/2026,N,N,N,Mix,32,MS
Melaleuca quinquenervia,NSW1078642,442,3/02/2026,24/02/2026,Y,Y,N,Mix,63,S
Melaleuca quinquenervia,NSW1078645,449,3/02/2026,24/02/2026,N,Y,Y,UR,82,R
Melaleuca quinquenervia,NSW1078645,450,3/02/2026,24/02/2026,N,Y,Y,Mix,69,R
Melaleuca quinquenervia,NSW1078645,451,3/02/2026,24/02/2026,N,N,N,N,51,R
Melaleuca quinquenervia,NSW1078645,452,3/02/2026,24/02/2026,N,N,N,Mix,24,HR
Melaleuca quinquenervia,NSW1078645,453,3/02/2026,24/02/2026,N,Y,Y,N,90,HR
Melaleuca quinquenervia,NSW1078645,454,3/02/2026,24/02/2026,Y,Y,Y,UR,69,HR
Melaleuca quinquenervia,NSW1078647,469,3/02/2026,24/02/2026,N,N,Y,R,43,MS
Melaleuca quinquenervia,NSW1078647,470,3/02/2026,24/02/2026,N,Y,N,R,8,R
Melaleuca quinquenervia,NSW1078647,471,3/02/2026,24/02/2026,Y,Y,N,N,57,MS
Melaleuca quinquenervia,NSW1078647,473,3/02/2026,24/02/2026,Y,N,Y,UR,48,MS
Melaleuca quinquenervia,NSW1078647,474,3/02/2026,24/02/2026,N,N,Y,R,78,R
Melaleuca quinquenervia,NSW1078647,475,3/02/2026,24/02/2026,Y,N,Y,R,66,MS
Melaleuca quinquenervia,NSW1078647,476,3/02/2026,24/02/2026,Y,Y,Y,Mix,25,HR
Melaleuca quinquenervia,NSW1078647,477,3/02/2026,24/02/2026,N,N,Y,Mix,89,MS
Melaleuca quinquenervia,NSW1078647,479,3/02/2026,24/02/2026,N,N,Y,UR,51,R
Melaleuca quinquenervia,NSW1078651,481,3/02/2026,24/02/2026,N,N,N,R,43,MS
Melaleuca quinquenervia,NSW1078651,483,3/02/2026,24/02/2026,N,Y,Y,N,0,S
Melaleuca quinquenervia,NSW1078651,486,3/02/2026,24/02/2026,N,Y,Y,Mix,45,R
Melaleuca quinquenervia,NSW1078651,487,3/02/2026,24/02/2026,Y,N,N,Mix,86,R
Melaleuca quinquenervia,NSW1078651,488,3/02/2026,24/02/2026,N,Y,Y,N,40,R
Melaleuca quinquenervia,NSW1078652,493,3/02/2026,24/02/2026,Y,N,N,Mix,15,HR
Melaleuca quinquenervia,NSW1078652,494,3/02/2026,24/02/2026,N,Y,Y,UR,45,HR
Melaleuca quinquenervia,NSW1078652,496,3/02/2026,24/02/2026,Y,Y,N,Mix,67,HR
Melaleuca quinquenervia,NSW1078652,497,3/02/2026,24/02/2026,Y,Y,N,N,98,MS
Melaleuca quinquenervia,NSW1078652,499,3/02/2026,24/02/2026,N,N,Y,N,43,R
Melaleuca quinquenervia,NSW1078652,500,3/02/2026,24/02/2026,Y,N,N,UR,23,MS
Melaleuca quinquenervia,NSW1078652,501,3/02/2026,24/02/2026,N,Y,N,R,1,HR
Melaleuca quinquenervia,NSW1078652,502,3/02/2026,24/02/2026,N,Y,Y,UR,1,MS
Melaleuca quinquenervia,NSW1078653,505,3/02/2026,24/02/2026,Y,Y,N,R,63,R
Melaleuca quinquenervia,NSW1078653,507,3/02/2026,24/02/2026,N,Y,N,R,27,MS
Melaleuca quinquenervia,NSW1078653,508,3/02/2026,24/02/2026,N,N,N,UR,79,S
