"","Species","MaternalLine","SeedlingID","InoculationDate","ScoringDate","Flecking","Chlorosis","Necrosis","ActiveSpores","Coverage","ImmuneResponse","summary_score"
"64","Melaleuca quinquenervia","NSW1071118",103,"3/02/2026","24/02/2026","Y","N","Y","N",65,"MS",48.75
"65","Melaleuca quinquenervia","NSW1071118",106,"3/02/2026","24/02/2026","N","Y","Y","R",4,"S",3.5
"66","Melaleuca quinquenervia","NSW1071118",107,"3/02/2026","24/02/2026","N","N","Y","UR",27,"R",6.75
"67","Melaleuca quinquenervia","NSW1071118",108,"3/02/2026","24/02/2026","N","Y","N","UR",49,"R",12.25
"68","Melaleuca quinquenervia","NSW1071123",109,"3/02/2026","24/02/2026","Y","Y","Y","Mix",26,"R",6.5
"69","Melaleuca quinquenervia","NSW1071123",112,"3/02/2026","24/02/2026","N","N","N","R",28,"HR",0
"70","Melaleuca quinquenervia","NSW1071123",113,"3/02/2026","24/02/2026","N","Y","N","Mix",60,"HR",0
"71","Melaleuca quinquenervia","NSW1071123",116,"3/02/2026","24/02/2026","N","N","N","Mix",65,"HR",0
"72","Melaleuca quinquenervia","NSW1071123",118,"3/02/2026","24/02/2026","N","N","Y","Mix",2,"MS",1.5
"73","Melaleuca quinquenervia","NSW1071123",120,"3/02/2026","24/02/2026","N","N","N","N",3,"R",0.75
"74","Melaleuca quinquenervia","NSW1071128",121,"3/02/2026","24/02/2026","Y","Y","N","N",56,"MS",42
"75","Melaleuca quinquenervia","NSW1071128",122,"3/02/2026","24/02/2026","Y","Y","N","R",36,"HR",0
"76","Melaleuca quinquenervia","NSW1071128",123,"3/02/2026","24/02/2026","N","N","N","R",76,"MS",57
"77","Melaleuca quinquenervia","NSW1071128",124,"3/02/2026","24/02/2026","Y","N","Y","Mix",47,"R",11.75
"78","Melaleuca quinquenervia","NSW1071128",125,"3/02/2026","24/02/2026","Y","N","Y","R",71,"MS",53.25
"79","Melaleuca quinquenervia","NSW1071128",126,"3/02/2026","24/02/2026","N","Y","Y","R",100,"S",87.5
"80","Melaleuca quinquenervia","NSW1071128",127,"3/02/2026","24/02/2026","N","N","N","Mix",69,"R",17.25
"81","Melaleuca quinquenervia","NSW1071128",128,"3/02/2026","24/02/2026","N","Y","Y","UR",75,"R",18.75
"82","Melaleuca quinquenervia","NSW1071128",129,"3/02/2026","24/02/2026","N","Y","Y","R",11,"R",2.75
"83","Melaleuca quinquenervia","NSW1071128",130,"3/02/2026","24/02/2026","N","N","N","R",99,"HR",0
"84","Melaleuca quinquenervia","NSW1071128",131,"3/02/2026","24/02/2026","Y","Y","Y","R",87,"HR",0
"85","Melaleuca quinquenervia","NSW1071128",132,"3/02/2026","24/02/2026","Y","Y","Y","N",22,"HR",0
"86","Melaleuca quinquenervia","NSW1071133",133,"3/02/2026","24/02/2026","N","Y","N","R",76,"MS",57
"87","Melaleuca quinquenervia","NSW1071133",134,"3/02/2026","24/02/2026","N","N","Y","R",25,"R",6.25
"88","Melaleuca quinquenervia","NSW1071133",136,"3/02/2026","24/02/2026","Y","Y","N","UR",31,"MS",23.25
"89","Melaleuca quinquenervia","NSW1071133",137,"3/02/2026","24/02/2026","Y","N","N","R",23,"MS",17.25
"90","Melaleuca quinquenervia","NSW1071133",138,"3/02/2026","24/02/2026","N","N","Y","N",59,"R",14.75
"91","Melaleuca quinquenervia","NSW1071133",139,"3/02/2026","24/02/2026","N","Y","N","Mix",43,"MS",32.25
"92","Melaleuca quinquenervia","NSW1071133",140,"3/02/2026","24/02/2026","Y","Y","N","R",100,"HR",0
"93","Melaleuca quinquenervia","NSW1071133",141,"3/02/2026","24/02/2026","N","Y","N","UR",74,"MS",55.5
"94","Melaleuca quinquenervia","NSW1071133",142,"3/02/2026","24/02/2026","N","Y","Y","R",34,"R",8.5
"95","Melaleuca quinquenervia","NSW1071133",143,"3/02/2026","24/02/2026","N","Y","N","Mix",5,"MS",3.75
"96","Melaleuca quinquenervia","NSW1071138",145,"3/02/2026","24/02/2026","Y","Y","Y","R",26,"S",22.75
"97","Melaleuca quinquenervia","NSW1071138",146,"3/02/2026","24/02/2026","N","Y","N","N",15,"R",3.75
"98","Melaleuca quinquenervia","NSW1071138",147,"3/02/2026","24/02/2026","Y","N","N","N",8,"R",2
"99","Melaleuca quinquenervia","NSW1071138",148,"3/02/2026","24/02/2026","N","Y","N","Mix",2,"R",0.5
"100","Melaleuca quinquenervia","NSW1071138",149,"3/02/2026","24/02/2026","Y","Y","Y","N",24,"HR",0
"101","Melaleuca quinquenervia","NSW1071138",150,"3/02/2026","24/02/2026","Y","N","N","N",69,"HR",0
"102","Melaleuca quinquenervia","NSW1071138",151,"3/02/2026","24/02/2026","N","N","N","R",49,"HR",0
"103","Melaleuca quinquenervia","NSW1071138",152,"3/02/2026","24/02/2026","Y","Y","Y","N",69,"MS",51.75
"104","Melaleuca quinquenervia","NSW1071138",153,"3/02/2026","24/02/2026","Y","N","N","Mix",72,"R",18
"105","Melaleuca quinquenervia","NSW1071138",154,"3/02/2026","24/02/2026","Y","N","Y","UR",75,"MS",56.25
"106","Melaleuca quinquenervia","NSW1071138",155,"3/02/2026","24/02/2026","N","N","Y","UR",16,"HR",0
"107","Melaleuca quinquenervia","NSW1071143",157,"3/02/2026","24/02/2026","Y","Y","Y","R",54,"MS",40.5
"108","Melaleuca quinquenervia","NSW1071143",159,"3/02/2026","24/02/2026","Y","N","Y","UR",90,"R",22.5
"109","Melaleuca quinquenervia","NSW1071143",161,"3/02/2026","24/02/2026","N","N","Y","Mix",79,"MS",59.25
"110","Melaleuca quinquenervia","NSW1071143",163,"3/02/2026","24/02/2026","N","Y","Y","R",24,"S",21
"111","Melaleuca quinquenervia","NSW1071143",165,"3/02/2026","24/02/2026","Y","N","N","R",94,"R",23.5
"112","Melaleuca quinquenervia","NSW1071143",169,"3/02/2026","24/02/2026","Y","Y","N","UR",64,"R",16
"113","Melaleuca quinquenervia","NSW1071143",171,"3/02/2026","24/02/2026","N","Y","N","R",65,"R",16.25
"114","Melaleuca quinquenervia","NSW1071143",173,"3/02/2026","24/02/2026","N","N","N","N",79,"HR",0
"115","Melaleuca quinquenervia","NSW1071143",175,"3/02/2026","24/02/2026","Y","N","Y","R",5,"HR",0
"116","Melaleuca quinquenervia","NSW1071143",177,"3/02/2026","24/02/2026","N","N","N","UR",73,"HR",0
"117","Melaleuca quinquenervia","NSW1071143",179,"3/02/2026","24/02/2026","Y","N","N","N",86,"MS",64.5
"118","Melaleuca quinquenervia","NSW1071148",181,"3/02/2026","24/02/2026","Y","Y","Y","UR",15,"R",3.75
"119","Melaleuca quinquenervia","NSW1071148",182,"3/02/2026","24/02/2026","Y","Y","Y","UR",34,"MS",25.5
"120","Melaleuca quinquenervia","NSW1071148",183,"3/02/2026","24/02/2026","Y","N","Y","R",27,"MS",20.25
"121","Melaleuca quinquenervia","NSW1071148",184,"3/02/2026","24/02/2026","N","Y","Y","R",3,"R",0.75
"122","Melaleuca quinquenervia","NSW1071148",185,"3/02/2026","24/02/2026","N","N","Y","UR",50,"MS",37.5
"123","Melaleuca quinquenervia","NSW1071148",186,"3/02/2026","24/02/2026","N","N","Y","N",44,"HR",0
"124","Melaleuca quinquenervia","NSW1071148",187,"3/02/2026","24/02/2026","N","Y","N","R",5,"MS",3.75
"125","Melaleuca quinquenervia","NSW1071148",188,"3/02/2026","24/02/2026","Y","N","Y","Mix",32,"R",8
"126","Melaleuca quinquenervia","NSW1071148",189,"3/02/2026","24/02/2026","N","N","N","R",35,"MS",26.25
"127","Melaleuca quinquenervia","NSW1071148",190,"3/02/2026","24/02/2026","Y","N","Y","Mix",94,"S",82.25
"128","Melaleuca quinquenervia","NSW1071148",192,"3/02/2026","24/02/2026","N","N","Y","UR",96,"R",24
"129","Melaleuca quinquenervia","NSW1074318",193,"3/02/2026","24/02/2026","N","N","Y","UR",36,"R",9
"130","Melaleuca quinquenervia","NSW1074318",195,"3/02/2026","24/02/2026","Y","Y","N","UR",33,"R",8.25
"131","Melaleuca quinquenervia","NSW1074318",196,"3/02/2026","24/02/2026","N","N","Y","R",20,"HR",0
"132","Melaleuca quinquenervia","NSW1074318",197,"3/02/2026","24/02/2026","Y","N","N","Mix",98,"HR",0
"133","Melaleuca quinquenervia","NSW1074318",198,"3/02/2026","24/02/2026","N","Y","N","UR",52,"HR",0
"134","Melaleuca quinquenervia","NSW1074318",199,"3/02/2026","24/02/2026","N","Y","Y","Mix",62,"MS",46.5
"135","Melaleuca quinquenervia","NSW1074324",205,"3/02/2026","24/02/2026","N","N","Y","R",35,"R",8.75
"136","Melaleuca quinquenervia","NSW1075719",206,"3/02/2026","24/02/2026","N","N","N","R",15,"MS",11.25
"137","Melaleuca quinquenervia","NSW1074324",209,"3/02/2026","24/02/2026","N","N","Y","N",73,"HR",0
"138","Melaleuca quinquenervia","NSW1075719",210,"3/02/2026","24/02/2026","N","Y","Y","R",9,"MS",6.75
"139","Melaleuca quinquenervia","NSW1074324",211,"3/02/2026","24/02/2026","N","N","Y","N",38,"R",9.5
"140","Melaleuca quinquenervia","NSW1075719",212,"3/02/2026","24/02/2026","N","Y","Y","Mix",17,"MS",12.75
"141","Melaleuca quinquenervia","NSW1075719",218,"3/02/2026","24/02/2026","Y","N","N","UR",42,"S",36.75
"142","Melaleuca quinquenervia","NSW1074324",221,"3/02/2026","24/02/2026","Y","Y","N","R",65,"R",16.25
"143","Melaleuca quinquenervia","NSW1074324",225,"3/02/2026","24/02/2026","N","N","Y","UR",96,"R",24
"144","Melaleuca quinquenervia","NSW1075719",228,"3/02/2026","24/02/2026","Y","N","Y","Mix",63,"R",15.75
"145","Melaleuca quinquenervia","NSW1074429",229,"3/02/2026","24/02/2026","Y","Y","N","N",90,"HR",0
"146","Melaleuca quinquenervia","NSW1074429",231,"3/02/2026","24/02/2026","Y","N","Y","UR",23,"HR",0
"147","Melaleuca quinquenervia","NSW1074429",233,"3/02/2026","24/02/2026","N","N","Y","UR",42,"HR",0
"148","Melaleuca quinquenervia","NSW1074429",237,"3/02/2026","24/02/2026","Y","N","N","UR",17,"MS",12.75
"149","Melaleuca quinquenervia","NSW1075723",242,"3/02/2026","24/02/2026","N","N","Y","Mix",78,"R",19.5
"150","Melaleuca quinquenervia","NSW1075723",245,"3/02/2026","24/02/2026","Y","Y","Y","UR",68,"MS",51
"151","Melaleuca quinquenervia","NSW1075723",248,"3/02/2026","24/02/2026","N","N","N","R",38,"MS",28.5
"152","Melaleuca quinquenervia","NSW1075723",249,"3/02/2026","24/02/2026","N","Y","Y","UR",6,"R",1.5
"153","Melaleuca quinquenervia","NSW1074334",253,"3/02/2026","24/02/2026","Y","N","N","UR",35,"MS",26.25
"154","Melaleuca quinquenervia","NSW1074334",254,"3/02/2026","24/02/2026","Y","N","Y","UR",78,"HR",0
"155","Melaleuca quinquenervia","NSW1074334",255,"3/02/2026","24/02/2026","Y","Y","Y","R",78,"MS",58.5
"156","Melaleuca quinquenervia","NSW1074334",256,"3/02/2026","24/02/2026","Y","N","Y","N",69,"R",17.25
"157","Melaleuca quinquenervia","NSW1074334",258,"3/02/2026","24/02/2026","N","N","Y","R",13,"MS",9.75
"158","Melaleuca quinquenervia","NSW1074334",259,"3/02/2026","24/02/2026","N","N","Y","UR",57,"S",49.875
"159","Melaleuca quinquenervia","NSW1074334",261,"3/02/2026","24/02/2026","N","N","N","R",61,"R",15.25
"160","Melaleuca quinquenervia","NSW1074334",264,"3/02/2026","24/02/2026","Y","N","N","Mix",13,"R",3.25
"161","Melaleuca quinquenervia","NSW1074339",266,"3/02/2026","24/02/2026","Y","Y","Y","R",75,"R",18.75
"162","Melaleuca quinquenervia","NSW1074339",268,"3/02/2026","24/02/2026","Y","Y","N","R",59,"HR",0
"163","Melaleuca quinquenervia","NSW1074339",269,"3/02/2026","24/02/2026","Y","Y","N","UR",43,"HR",0
"164","Melaleuca quinquenervia","NSW1074339",272,"3/02/2026","24/02/2026","Y","N","N","R",4,"HR",0
"165","Melaleuca quinquenervia","NSW1074339",273,"3/02/2026","24/02/2026","Y","N","Y","UR",0,"MS",0
"166","Melaleuca quinquenervia","NSW1074339",274,"3/02/2026","24/02/2026","Y","Y","N","Mix",58,"R",14.5
"167","Melaleuca quinquenervia","NSW1074339",276,"3/02/2026","24/02/2026","N","N","N","UR",69,"MS",51.75
"168","Melaleuca quinquenervia","NSW1074398",279,"3/02/2026","24/02/2026","Y","Y","N","UR",59,"HR",0
"169","Melaleuca quinquenervia","NSW1074398",283,"3/02/2026","24/02/2026","N","Y","Y","N",99,"MS",74.25
"170","Melaleuca quinquenervia","NSW1074398",285,"3/02/2026","24/02/2026","Y","N","N","UR",41,"R",10.25
"171","Melaleuca quinquenervia","NSW1074423",289,"3/02/2026","24/02/2026","Y","Y","N","Mix",6,"MS",4.5
"172","Melaleuca quinquenervia","NSW1074423",291,"3/02/2026","24/02/2026","N","Y","N","R",92,"S",80.5
"173","Melaleuca quinquenervia","NSW1074423",292,"3/02/2026","24/02/2026","Y","Y","N","UR",38,"R",9.5
"174","Melaleuca quinquenervia","NSW1074423",293,"3/02/2026","24/02/2026","Y","Y","N","Mix",34,"R",8.5
"175","Melaleuca quinquenervia","NSW1074423",294,"3/02/2026","24/02/2026","N","N","Y","UR",93,"R",23.25
"176","Melaleuca quinquenervia","NSW1074423",295,"3/02/2026","24/02/2026","N","Y","N","Mix",15,"HR",0
"177","Melaleuca quinquenervia","NSW1074423",297,"3/02/2026","24/02/2026","Y","Y","N","Mix",47,"HR",0
"178","Melaleuca quinquenervia","NSW1074423",298,"3/02/2026","24/02/2026","Y","Y","N","Mix",88,"HR",0
"179","Melaleuca quinquenervia","NSW1074423",299,"3/02/2026","24/02/2026","Y","N","N","Mix",62,"MS",46.5
"180","Melaleuca quinquenervia","NSW1075706",302,"3/02/2026","24/02/2026","N","Y","Y","R",13,"R",3.25
"181","Melaleuca quinquenervia","NSW1075706",304,"3/02/2026","24/02/2026","Y","Y","Y","UR",70,"MS",52.5
"182","Melaleuca quinquenervia","NSW1074428",305,"3/02/2026","24/02/2026","Y","Y","Y","N",32,"MS",24
"183","Melaleuca quinquenervia","NSW1074329",325,"3/02/2026","24/02/2026","N","N","Y","UR",54,"R",13.5
"184","Melaleuca quinquenervia","NSW1074329",327,"3/02/2026","24/02/2026","Y","Y","Y","R",6,"MS",4.5
"185","Melaleuca quinquenervia","NSW1074329",328,"3/02/2026","24/02/2026","N","Y","Y","R",14,"HR",0
"186","Melaleuca quinquenervia","NSW1074329",331,"3/02/2026","24/02/2026","Y","N","N","N",71,"MS",53.25
"187","Melaleuca quinquenervia","NSW1074329",334,"3/02/2026","24/02/2026","Y","Y","Y","R",70,"R",17.5
"188","Melaleuca quinquenervia","NSW1074329",336,"3/02/2026","24/02/2026","N","N","Y","N",28,"MS",21
"189","Melaleuca quinquenervia","NSW1074433",337,"3/02/2026","24/02/2026","N","N","N","UR",45,"S",39.375
"190","Melaleuca quinquenervia","NSW1074433",339,"3/02/2026","24/02/2026","Y","Y","Y","Mix",72,"R",18
"191","Melaleuca quinquenervia","NSW1074433",340,"3/02/2026","24/02/2026","Y","Y","N","R",36,"R",9
"192","Melaleuca quinquenervia","NSW1074433",341,"3/02/2026","24/02/2026","Y","Y","Y","UR",18,"R",4.5
"193","Melaleuca quinquenervia","NSW1074433",344,"3/02/2026","24/02/2026","N","N","Y","Mix",96,"HR",0
"194","Melaleuca quinquenervia","NSW1074453",349,"3/02/2026","24/02/2026","N","Y","N","N",94,"HR",0
"195","Melaleuca quinquenervia","NSW1074453",351,"3/02/2026","24/02/2026","N","Y","Y","UR",96,"HR",0
"196","Melaleuca quinquenervia","NSW1074453",357,"3/02/2026","24/02/2026","N","N","N","N",66,"MS",49.5
"197","Melaleuca quinquenervia","NSW1074453",358,"3/02/2026","24/02/2026","Y","N","Y","Mix",96,"R",24
"198","Melaleuca quinquenervia","NSW1074458",361,"3/02/2026","24/02/2026","Y","Y","Y","Mix",12,"MS",9
"199","Melaleuca quinquenervia","NSW1074458",370,"3/02/2026","24/02/2026","Y","N","N","UR",24,"HR",0
"200","Melaleuca quinquenervia","NSW1074458",371,"3/02/2026","24/02/2026","Y","Y","N","R",30,"MS",22.5
"201","Melaleuca quinquenervia","NSW1078636",373,"3/02/2026","24/02/2026","N","Y","N","N",89,"R",22.25
"202","Melaleuca quinquenervia","NSW1078636",374,"3/02/2026","24/02/2026","N","N","Y","R",47,"MS",35.25
"203","Melaleuca quinquenervia","NSW1078636",375,"3/02/2026","24/02/2026","N","N","N","UR",71,"S",62.125
"204","Melaleuca quinquenervia","NSW1078636",376,"3/02/2026","24/02/2026","N","Y","N","Mix",68,"R",17
"205","Melaleuca quinquenervia","NSW1078636",377,"3/02/2026","24/02/2026","N","N","Y","R",84,"R",21
"206","Melaleuca quinquenervia","NSW1078636",378,"3/02/2026","24/02/2026","Y","N","Y","Mix",81,"R",20.25
"207","Melaleuca quinquenervia","NSW1078636",379,"3/02/2026","24/02/2026","N","Y","Y","Mix",44,"HR",0
"208","Melaleuca quinquenervia","NSW1078636",380,"3/02/2026","24/02/2026","N","N","Y","R",87,"HR",0
"209","Melaleuca quinquenervia","NSW1078636",381,"3/02/2026","24/02/2026","Y","Y","N","N",70,"HR",0
"210","Melaleuca quinquenervia","NSW1078636",382,"3/02/2026","24/02/2026","Y","N","N","N",78,"MS",58.5
"211","Melaleuca quinquenervia","NSW1078636",384,"3/02/2026","24/02/2026","Y","N","N","Mix",85,"R",21.25
"212","Melaleuca quinquenervia","NSW1078637",385,"3/02/2026","24/02/2026","Y","Y","Y","R",78,"MS",58.5
"213","Melaleuca quinquenervia","NSW1078637",386,"3/02/2026","24/02/2026","Y","N","Y","N",94,"R",23.5
"214","Melaleuca quinquenervia","NSW1078637",387,"3/02/2026","24/02/2026","N","N","Y","Mix",80,"R",20
"215","Melaleuca quinquenervia","NSW1078637",389,"3/02/2026","24/02/2026","N","N","N","N",24,"HR",0
"216","Melaleuca quinquenervia","NSW1078637",391,"3/02/2026","24/02/2026","N","Y","N","N",50,"HR",0
"217","Melaleuca quinquenervia","NSW1078637",392,"3/02/2026","24/02/2026","N","N","Y","R",39,"HR",0
"218","Melaleuca quinquenervia","NSW1078637",393,"3/02/2026","24/02/2026","Y","Y","Y","R",42,"MS",31.5
"219","Melaleuca quinquenervia","NSW1078637",394,"3/02/2026","24/02/2026","N","N","Y","Mix",15,"R",3.75
"220","Melaleuca quinquenervia","NSW1078637",395,"3/02/2026","24/02/2026","Y","Y","N","N",57,"MS",42.75
"221","Melaleuca quinquenervia","NSW1078637",396,"3/02/2026","24/02/2026","N","N","Y","R",60,"MS",45
"222","Melaleuca quinquenervia","NSW1078640",397,"3/02/2026","24/02/2026","Y","Y","N","N",99,"R",24.75
"223","Melaleuca quinquenervia","NSW1078640",398,"3/02/2026","24/02/2026","Y","Y","Y","R",62,"MS",46.5
"224","Melaleuca quinquenervia","NSW1078640",399,"3/02/2026","24/02/2026","N","N","Y","UR",86,"HR",0
"225","Melaleuca quinquenervia","NSW1078640",400,"3/02/2026","24/02/2026","N","N","N","R",49,"MS",36.75
"226","Melaleuca quinquenervia","NSW1078640",401,"3/02/2026","24/02/2026","Y","Y","Y","UR",97,"R",24.25
"227","Melaleuca quinquenervia","NSW1078640",402,"3/02/2026","24/02/2026","N","Y","Y","UR",73,"MS",54.75
"228","Melaleuca quinquenervia","NSW1078640",406,"3/02/2026","24/02/2026","Y","Y","N","UR",11,"S",9.625
"229","Melaleuca quinquenervia","NSW1078640",407,"3/02/2026","24/02/2026","Y","Y","Y","UR",19,"R",4.75
"230","Melaleuca quinquenervia","NSW1078641",411,"3/02/2026","24/02/2026","Y","N","N","R",81,"R",20.25
"231","Melaleuca quinquenervia","NSW1078641",413,"3/02/2026","24/02/2026","Y","Y","N","Mix",61,"R",15.25
"232","Melaleuca quinquenervia","NSW1078641",415,"3/02/2026","24/02/2026","Y","N","Y","R",21,"HR",0
"233","Melaleuca quinquenervia","NSW1078641",417,"3/02/2026","24/02/2026","N","Y","Y","Mix",95,"HR",0
"234","Melaleuca quinquenervia","NSW1078641",419,"3/02/2026","24/02/2026","Y","N","Y","Mix",59,"HR",0
"235","Melaleuca quinquenervia","NSW1078641",421,"3/02/2026","24/02/2026","N","N","N","R",46,"MS",34.5
